time,open,high,low,close,volume
2025-04-21,193.265,209.75,189.8112,209.28,238181320
2025-04-28,210,214.56,202.16,205.35,286233457
2025-05-05,203.1,204.1,193.25,198.53,275784672
2025-05-12,210.97,213.94,206.75,211.26,264778294
2025-05-19,207.91,209.48,193.46,195.27,273024261
2025-05-27,198.3,203.81,196.78,200.85,223926033
2025-06-02,200.28,206.24,200.12,203.92,227237774
2025-06-09,204.39,206,195.7,196.45,283877006
2025-06-16,197.3,201.7,195.07,201,224085074
2025-06-23,201.625,203.67,198.96,201.08,273391727
2025-06-30,202.01,214.65,199.2607,213.55,273599330
2025-07-07,212.68,216.23,207.22,211.16,226036726
2025-07-14,209.925,212.4,207.54,211.18,225669714
2025-07-21,212.1,215.78,211.63,213.88,231062208
2025-07-28,214.03,214.845,201.5,202.38,319915158
2025-08-04,204.505,231,201.675,229.35,431826281
2025-08-11,227.92,235.12,224.76,231.59,295311911
2025-08-18,231.7,233.12,223.7804,227.76,192241677
2025-08-25,226.48,233.41,224.69,232.14,194310890
2025-09-02,229.25,241.32,226.97,239.69,212923299
2025-09-08,239.3,240.15,225.95,234.07,304787017
2025-09-15,237,246.3,235.03,245.5,360619530
2025-09-22,248.3,257.6,248.12,255.46,309374646
2025-09-29,254.56,259.24,253.01,258.02,267045679
